Title,Author,Date,Excerpt
"Ganduje leads APC's NWC to Buhari, says move to form coalition against APC will fail",Adeola Ajakaiye,"Apr 12, 2025","Abdullah Ganduje, national chairman of the ruling party, All Progressives Congress, has described the ongoing move by Nasir El-Rufai, and..."
US tightens visa interview rules for Nigerian applicants,Ojochenemi Onje,"Apr 12, 2025","The United States Mission in Nigeria has announced new guidelines for visa interviews, introducing stricter requirements aimed at streamlining the..."
Former Super Eagles coach Christian Chukwu dies at 74,Anthony Nlebem,"Apr 12, 2025","Former Super Eagles coach and captain, Christian Chukwu, has passed away at the age of 74. He died earlier on..."
"Economic, humanitarian strain deepen in Plateau as fresh attacks displace thousands",Nathaniel Gbaoron,"Apr 12, 2025","The wave of renewed terror attacks sweeping across Nigeria’s northern region has particularly devastated Plateau State, where armed assailants have..."
Nigeria risks missing out on the Trump tariff opportunity,Oluwole Crowther,"Apr 12, 2025","After all has been said and done about how African countries can capitalise on Trump’s return to reciprocal tariffs, the..."
Fitch upgrades Nigeria's credit rating to B following reforms,Oluwatosin Ogunjuyigbe,"Apr 12, 2025","Nigeria’s credit rating has been raised to B by Fitch Ratings, though this still places it in the speculative-grade category...."
Exclusive: House bill to stop age restrictions in banking employment sparks concerns,Godsgift Onyedinefu,"Apr 11, 2025",…as banks risk suspension of operating licence Financial and economic analysts have raised concerns over a proposed bill at the...
Naira’s 3.6% fall against USD ‘reasonable’ compared to peers —JP Morgan,Wasiu Alli,"Apr 11, 2025",Naira’s steep fall against the US dollar over the past week has been ‘reasonable’ compared to other frontier and emerging...
"Financial constraints, last-minute changes delay Tinubu's ambassadorial list",Taofeek Oyedokun,"Apr 11, 2025","The Federal Government has completed the vetting process for individuals nominated to serve in Nigeria’s 109 diplomatic missions worldwide, including..."
Naira blip temporary as analysts bet on rebound,Eniola Olatunji,"Apr 11, 2025","The naira has weakened against the dollar due to Trump’s tariff turmoil and downturn in global oil prices, prompting uncertainty..."
Airlines slash fares to Europe on low travels,Ifeoma Okeke-Korieocha,"Apr 11, 2025","…As global carriers cut forecasts As the aviation industry enters into a low travel season, airlines operating from Nigeria to..."
Cameroonian filmmakers tap Nollywood to revive careers,Anthony Udugba,"Apr 11, 2025",Cameroonian filmmakers are increasingly turning to Nigeria’s thriving Nollywood to revive their careers and reach wider audiences. Cameroon’s film industry...
MTN eyes second public offer in Nigeria after recovery,Temitayo Jaiyeola,"Apr 10, 2025",MTN Group has announced plans to reduce its shareholding in MTN Nigeria through a public offer after it returns to...
Relief for Nigerians as Dangote cuts petrol price to N865/litre,Oladehinde Oladipo,"Apr 10, 2025","The Dangote Petroleum Refinery has informed marketers of a reduction in the ex-depot price of premium motor spirit (PMS), commonly..."
"Nigeria may miss 70% broadband penetration target by 2025, experts say",BusinessDay,"Apr 10, 2025","With just months to the end of 2025, industry stakeholders have expressed concerns that Nigeria may not achieve its ambitious..."
Remittances hit new level under Cardoso: Highest in 5 yrs,Hope Moses-Ashike,"Apr 10, 2025","Remittance flows into the Nigerian economy rose by nine percent to $20.98 billion in 2024, marking the highest level in..."
PFAs pump N5.5trn into real sector for high yields,Modestus Anaesoronye,"Apr 10, 2025","…As Stanbic IBTC, Access, NPF outpace others in membership registration Pension Fund Administrators (PFAs) have invested N5.51 trillion in Nigeria’s..."
Cocoa output to rise on improved investments,Josephine Okojie,"Apr 10, 2025",…As mid-crop production to defy late rains Nigeria’s 2024/2025 mid-crop cocoa output is expected to rise despite delayed rainfall in...
Petrol price seen dropping as naira-for-crude deal to continue,Abubakar Ibrahim,"Apr 10, 2025",The federal government has said that the naira-for-crude deal with local refiners will continue. Analysts say the deal will likely...
Oil prices hit pandemic level in threat to Nigeria’s revenue,Dipo Oladehinde,"Apr 10, 2025","Nigeria’s economy is facing a renewed strain as global oil prices plummet, reaching levels reminiscent of the devastating downturn experienced..."
Trump halts tariffs for 90 days,Bethel Olujobi,"Apr 09, 2025",U.S. President Donald Trump has announced a 90-day pause on his sweeping tariffs targeting dozens of countries only days after...
Business confidence rises third consecutive month on reforms,Boluwatife Omotayo,"Apr 09, 2025",Business confidence in Nigeria has risen for the third straight month in 2025 as the federal government reforms continue to...
Nigeria posts $6.83bn balance of payments surplus on reforms,Hope Moses-Ashike,"Apr 09, 2025",. Apex bank says signaling economic resurgence The Central Bank of Nigeria (CBN) has announced a balance of payments (BOP)...
Court restrains Housing Ministry from demolishing Banana Island property,Chuka Uroko,"Apr 09, 2025",A federal high court sitting in Lagos has given an interim injunction restraining the Federal Ministry of Housing and Urban...
"Airlines slash fares to Europe on FX rate, low season",Ifeoma Okeke-Korieocha,"Apr 09, 2025",Low travel season and reduction in exchange rates are seeing airlines operating from Nigeria to Europe slash fares and offer...
Naira for crude deal 'remains in effect' – FG,Abubakar Ibrahim,"Apr 09, 2025","The Federal Government, through the Ministry of Finance, has said that the Naira-for-crude deal between the government and local refiners,..."
"Rivers: Shock as Ibas defies court, appoints administrators in 23 LGAs",Ignatius Chukwu,"Apr 09, 2025","Ibok Ekwe Ibas, retired vice admiral and Sole Administrator for Rivers State, has approved appointment of 23 sole administrators in..."
Africa's audacious $60bn AI bet trails global counterparts,Temitayo Jaiyeola,"Apr 09, 2025","Africa is making an audacious $60 billion bet on Artificial Intelligence (AI) development. This amount, representing 2.2 percent of the..."
Pension cash floods infrastructure as assets triple,Modestus Anaesoronye,"Apr 09, 2025","Nigerian pension fund managers have tripled their exposure to infrastructure over the past five years, driven by better project structuring,..."
Trump’s tariffs threaten FMCG recovery as naira takes hit,Wasiu Alli,"Apr 09, 2025",Nigeria’s fast moving consumer goods (FMCGs) sector was banking on the rare calmness of the naira and cooling prices to...
Natasha Akpoti-Uduaghan sues Nwaebonyi for N5bn over alleged defamation,BusinessDay,"Apr 08, 2025","Natasha Akpoti-Uduaghan, suspended senator representing Kogi Central, has filed a N5 billion defamation lawsuit against fellow senator Onyekachi Nwaebonyi over..."
"Borno: We are losing ground to terrorists, Zulum raises alarm",Olatunji Omirin,"Apr 08, 2025","Governor Babagana Zulum of Borno State on Tuesday lamented over daily killing, dislodgement of military formations and abduction of people..."
"Banana Island residents, ministry officials bicker over access road construction",Chuka Uroko,"Apr 08, 2025",The residents of Banana Island in Lagos and officials of the federal ministry of works were at logger-head Tuesday over...
"Tinubu, Obi, others mourn boardroom icon Pascal Dozie",Faith Omoboye,"Apr 08, 2025","Nigeria is in mourning following the passing of one of its most illustrious business figures, Pascal Gabriel Dozie, who died..."
Pascal Dozie: The visionary who banked on Nigeria’s future,Faith Omoboye,"Apr 08, 2025","In the story of modern Nigerian enterprise, few names resonate as deeply as Pascal Dozie — a man whose journey..."
"Diamond Bank founder, Pascal Dozie dies at 86",Temi Bamgbose,"Apr 08, 2025","Pascal Dozie, a renowned Nigerian entrepreneur and business leader has died. He would have been 86 tomorrow. According to sources..."
Nigeria’s FDI outlook dims over oil price rout,BusinessDay,"Apr 08, 2025",..FG’s N20trn oil revenue threatened The sustained downturn in global oil prices is casting a long shadow over Nigeria’s energy...
FG weighs budget reset amid Trump's tariff turmoil,Onyinye Nwachukwu,"Apr 08, 2025","…As MOFI launches performance scorecard to enhance portfolio transparency, governance In response to U.S. President Donald Trump’s 14 percent tariff..."
Banking on bytes: Lenders boost tech spend by 90%,Temitayo Jaiyeola,"Apr 08, 2025","Seven banks ramped up spending on technology in 2024 to match rising demand for electronic payments, which crossed the N1..."
Nigeria stocks join global plunge on tariff turmoil,Iheanyi Nwachukwu,"Apr 08, 2025",..Investors lose N659bn ..$5.3trn wiped off S&P 500 in two days Stock investors in Nigeria were left reeling from the...
Trump's tariffs seen reigniting AfCFTA,Bethel Olujobi,"Apr 08, 2025",U.S. President Donald Trump’s tariff blitz may do what years of diplomacy haven’t; push African nations to double down on...
"Saudi Arabia imposes visa ban on Nigeria, 13 others ahead of Hajj",Oluwatosin Ogunjuyigbe,"Apr 07, 2025","Saudi Arabia has announced a significant change to its visa policy, restricting nationals from 14 countries, including Nigeria, from applying..."
Nigeria stocks join global plunge on Trump's tariff turmoil,Iheanyi Nwachukwu,"Apr 07, 2025",…dips by 1.23% as week opens Nigeria’s stock investors lost about N659billion at the close of trading on Monday. The...
Top 10 stocks with the highest dividend yield in 2025,David Olujinmi,"Apr 07, 2025","Despite economic headwinds, thirty-nine of the 150 companies listed on the Nigerian Exchange declared dividends for the 2024 financial year...."
CBN opens dollar tap as Trump tariffs test naira,Hope Moses-Ashike,"Apr 07, 2025",The Central Bank of Nigeria (CBN) sold dollars on the official market Friday as it stepped in to bolster liquidity...
Nine banks rake N922.5bn in fees as customers decry rising charges,Hope Moses-Ashike,"Apr 07, 2025",Some of Nigeria’s largest commercial banks earned a combined N922.5 billion ($589 million) from net fees and commission charges in...
Nigeria’s local processing bill: Economic boost or burden?,BusinessDay,"Apr 07, 2025",A proposed bill in Nigeria mandating that all raw materials be processed locally to a minimum of 30 percent before...
Explainer. How banks defied odds to make record profits in 2024,Eniola Olatunji,"Apr 07, 2025",The ultimate paradox is unravelling in Nigeria as banks declare record profits at a time when several businesses are reporting...
OpenAI vs. Google: The relentless battle for AI supremacy,Temitayo Jaiyeola,"Apr 07, 2025","Since OpenAI launched ChatGPT in 2022, artificial intelligence (AI) has reshaped the way humans think and operate. Contrary to fears..."
"Death toll from meningitis outbreak reaches 151, says NCDC",Godsgift Onyedinefu,"Apr 06, 2025",The Nigerian Centre for Disease Control (NCDC) has reported that the death toll from the ongoing meningitis outbreak has reached...
"Three dead, over 3,000 displaced in Borno fire outbreak",BusinessDay,"Apr 06, 2025","A devastating fire ripped through the Kalari settlement in Konduga Local Government Area of Borno State on Saturday, killing three..."
New York Times: A female senator faces down a ‘classic abuse of power’ in Nigeria,BusinessDay,"Apr 06, 2025","When Nigeria’s third most powerful politician was accused of sexual harassment on national television this year, a fierce backlash ensued..."
Citizens decry high cost of money in Nigeria,Obinna Emelike,"Apr 06, 2025",…Withdrawal charges on the rise at PoS ‘shops’ …as Banks’ ATMs remain empty despite CBN directives After shopping at a...
Young professionals lament accommodation woes in cities,Seyi John Salau,"Apr 06, 2025","…Can’t afford decent apartments as urban rent surges …Say living in suburbs lowers their productivity, self-esteem For many young professionals..."
Growing indiscipline: Frustrated teachers cry out over unruly pupils,Charles Ogwo,"Apr 06, 2025",…’We’ve left them to their craftiness’ …’Poor parenting destroying children’ Teachers are crying out their frustration over managing unruly pupils...
More patients with terminal diseases beg for alms,Iwok Iniobong,"Apr 06, 2025",…Overwhelmed families can’t help relatives …Mirrors poor state of healthcare in Nigeria …What we are doing to help out –...
CBN sells $197.71m as Trump tariffs hit naira,Hope Moses-Ashike,"Apr 05, 2025",The Central Bank of Nigeria (CBN) has intervened in the foreign exchange (FX) with the sale of $197.71 million to...
Nigeria’s debt hits record N145trn on rising borrowings,Wasiu Alli,"Apr 05, 2025",Nigeria’s total public debt reached its highest on record as Africa’s most populous nation continues to rely on borrowings to...
"Consumer goods firms brace for recovery amid naira gains, inflation drop",Wasiu Alli,"Apr 05, 2025",Consumer goods firms are beginning to heave a sigh of relief as inflationary pressures are cooling and the Nigerian naira...
"Adesua Dozie, three others join NNPC’s management as reshuffling continues",Oladehinde Oladipo,"Apr 04, 2025","The ongoing restructuring of the Nigerian National Petroleum Company (NNPC) Limited has seen the appointment of Adesua Dozie, the first..."
"Oil down by $10, new headache for Nigeria’s economy",Abubakar Ibrahim,"Apr 04, 2025","Nigeria’s economy faces fresh risk as international crude oil prices slump by $10 per barrel, threatening the country’s already stretched..."
Umahi declares Independence Bridge fit for use as he reopens it,Chuka Uroko,"Apr 04, 2025","Minister of works, David Umahi, has declared the rehabilitated Independence Bridge in Lagos fit for use as he reopened it...."
"Hakeem Baba-Ahmed, Tinubu's political adviser resigns",Anthony Ailemen,"Apr 04, 2025","Hakeem Baba-Ahmed, Tinubu’s Political Adviser has resigned. BusinessDay gathered from sources at the Presidential Villa, that Baba-Ahmed sent in his..."
"Supreme Court sacks Abure as LP Chairman, describes Usman's appeal as "" meritorious""",Anthony Ailemen,"Apr 04, 2025","The Supreme Court on Friday, sacked Julius Abure, the embattled National Chairman of the Labour Party (LP). The apex Court..."
"I’ll present sexual assault evidence against Akpabio at the right time, says Natasha Akpoti",Oluwatosin Ogunjuyigbe,"Apr 04, 2025","Senator Natasha Akpoti-Uduaghan, representing Kogi Central, has stated she will provide evidence to support her sexual harassment allegations against Senate..."
US stocks record worst day since COVID as Trump's tariffs spook investors,Oluwatosin Ogunjuyigbe,"Apr 04, 2025","US stocks suffered their worst drop since the pandemic, erasing $2.5 trillion in value after President Donald Trump announced major..."
N55bn debt from neighbours strains Nigeria’s power sector,Faith Esifiho,"Apr 04, 2025","Nigeria’s power sector is feeling the squeeze as unpaid electricity debts from neighboring West African nations mount, deepening financial pressures..."
Nigeria Eurobonds tumble as Trump tariffs trigger turmoil,Eniola Olatunji,"Apr 04, 2025",…JP Morgan bullish on naira debt as FX reserves climb Yields on Nigerian Eurobonds jumped to the highest level this...
Telcos splash cash on network upgrade to appease frustrated customers,Temitayo Jaiyeola,"Apr 04, 2025",Relief may be on the way for millions of Nigerians left frustrated by worsening network connectivity as telecom operators embark...
Natasha Akpoti’s recall petition fails to get 50% signatures - INEC,BusinessDay,"Apr 03, 2025","The petition seeking the recall of the suspended Natasha Akpoti-Uduaghan, the Senator representing Kogi Central Senatorial District, has failed to..."
"Investors flock to big banks as GTCO, Zenith lead in share price",Wasiu Alli,"Apr 03, 2025","The first quarter of 2025 has been a defining period for Nigeria’s tier-1 banks with significant shifts in share prices,..."
NNPCL increases petrol price to N950/litre,Oluwatosin Ogunjuyigbe,"Apr 03, 2025","After holding back at first, the Nigerian National Petroleum Company Limited has raised the price of petrol to N925 per..."
How you can defeat the Band A “anemia”,BusinessDay,"Apr 03, 2025","Middle-class Nigerians have a new affliction. It is the Band A anemia, a troubling pain that comes at the end..."
Nigeria hit as Trump imposes sweeping tariffs,Bethel Olujobi,"Apr 02, 2025",U.S. President Donald Trump has announced a 10 percent baseline tariff on imports from all countries and higher rates on...
Seven hurdles facing new-look NNPC,Dipo Oladehinde,"Apr 02, 2025","From reviving idle oil fields to meeting the 2 million barrels per day production target, Bayo Ojulari, the new group..."
Edo Guber Election: Tribunal declares Monday Okpebholo winner,BusinessDay,"Apr 02, 2025",The Edo State Governorship Election Petition Tribunal has declared Gov Monday Okpebholo of APC as the rightful winner of the September 21 gubernatorial election in the state....
Naira gains as net FX reserves hit 3yr high,Hope Moses-Ashike,"Apr 02, 2025",Nigeria’s naira climbed the most against the dollar in two weeks after the central bank said net foreign-exchange reserves climbed...
Tinubu gets all-round applause for NNPC’s new look,Abubakar Ibrahim,"Apr 02, 2025","President Bola Tinubu has won plaudits for the appointments made to the board of the state energy company, NNPC, with..."
Lagos at standstill as Independence bridge repairs begin,Chuka Uroko,"Apr 02, 2025","Lagos, Nigeria’s commercial capital, was under lockdown by traffic Wednesday, a result of the shock closure of a critical bridge..."
